title,publication,Book Series Title,Journal Volume,Journal Issue,doi,author,Publication Year,url,Content Type
The Impact of Cybercrime on Internet Banking Adoption,Current and Future Trends on Intelligent Technology Adoption,,,,10.1007/978-3-031-61463-7_12,Wafa’a Al-SurkhiMahmoud Maqableh,2024,https://link.springer.com/chapter/10.1007/978-3-031-61463-7_12,Chapter
Artificial Intelligence Methods in Email Marketing—A Survey,Dependable Computer Systems and Networks,,,,10.1007/978-3-031-37720-4_8,Anna Jach,2023,https://link.springer.com/chapter/10.1007/978-3-031-37720-4_8,Conference paper
The Economics of Transnational Organised Crime: A Conceptual Analysis of Issues and Challenges in the 21st Century,The Palgrave Handbook of (In)security and Transnational Crime in Africa,,,,10.1007/978-3-031-74786-1_1,Shanta Balgobind SinghGerelene JagganathTolulope Ojolo,2025,https://link.springer.com/chapter/10.1007/978-3-031-74786-1_1,Chapter
The Importance of Cybersecurity Awareness Training in the Aviation Industry for Early Detection of Cyberthreats and Vulnerabilities,HCI International 2023 – Late Breaking Papers,,,,10.1007/978-3-031-48057-7_29,Regner SabillonJuan Ramon Bermejo Higuera,2023,https://link.springer.com/chapter/10.1007/978-3-031-48057-7_29,Conference paper
Development of Proposed Model Using Random Forest with Optimization Technique for Classification of Phishing Website,SN Computer Science,,,,10.1007/s42979-024-03388-x,Prakash PathakAkhilesh Kumar Shrivas,2024,https://link.springer.com/article/10.1007/s42979-024-03388-x,Article
Design tactics for tailoring transformer architectures to cybersecurity challenges,Cluster Computing,,,,10.1007/s10586-024-04355-0,Cigdem AvciBedir TekinerdoganCagatay Catal,2024,https://link.springer.com/article/10.1007/s10586-024-04355-0,Article
A Cyber4Dev Security Culture Model,"Advanced Research in Technologies, Information, Innovation and Sustainability",,,,10.1007/978-3-031-20316-9_26,Morena Abiel TsoeuAdéle da Veiga,2022,https://link.springer.com/chapter/10.1007/978-3-031-20316-9_26,Conference paper
A deep learning mechanism to detect phishing URLs using the permutation importance method and SMOTE-Tomek link,The Journal of Supercomputing,,,,10.1007/s11227-024-06124-7,Rania ZaimiMohamed HafidiMahnane Lamia,2024,https://link.springer.com/article/10.1007/s11227-024-06124-7,Article
Developing and implementing social engineering-prevention policies: a qualitative study,Security Journal,,,,10.1057/s41284-023-00385-2,Kevin F. SteinmetzThomas J. HoltChristopher G. Brewer,2023,https://link.springer.com/article/10.1057/s41284-023-00385-2,Article
The Effect of Internet Threat on Small Businesses in South Africa,Networks and Systems in Cybernetics,,,,10.1007/978-3-031-35317-8_14,Awosejo Oluwaseun JohnsonAgnieta PretoriusTendani Lavhengwa,2023,https://link.springer.com/chapter/10.1007/978-3-031-35317-8_14,Conference paper
Designing an Email Security Awareness Program for State-Owned Enterprises in Namibia,IOT with Smart Systems,,,,10.1007/978-981-16-3945-6_67,Mamoqenelo Priscilla MorolongFungai Bhunu ShavaVictor Goodson Shilongo,2022,https://link.springer.com/chapter/10.1007/978-981-16-3945-6_67,Conference paper
Comprehensive framework for implementing blockchain-enabled federated learning and full homomorphic encryption for chatbot security system,Cluster Computing,,,,10.1007/s10586-024-04515-2,Nasir Ahmad JalaliChen Hongsong,2024,https://link.springer.com/article/10.1007/s10586-024-04515-2,Article
Intelligent phishing website detection using machine learning,Multimedia Tools and Applications,,,,10.1007/s11042-023-14731-4,Ashish Kumar JhaRaja MuthalaguPranav M. Pawar,2023,https://link.springer.com/article/10.1007/s11042-023-14731-4,Article
Technology Issues,White-Collar Crime Online,,,,10.1007/978-3-030-82132-6_6,Petter GottschalkChristopher Hamerton,2022,https://link.springer.com/chapter/10.1007/978-3-030-82132-6_6,Chapter
Online Grooming,White-Collar Crime Online,,,,10.1007/978-3-030-82132-6_9,Petter GottschalkChristopher Hamerton,2022,https://link.springer.com/chapter/10.1007/978-3-030-82132-6_9,Chapter
2030 Roadmap: Cybersecurity in Food E-Commerce,Cybersecurity,,,,10.1007/978-3-031-34843-3_7,Cuong NguyenJordan WearingKawther ElolaimiPavithra PrasadPrajakta ThoratTony CalifanoTugrul U. Daim,2023,https://link.springer.com/chapter/10.1007/978-3-031-34843-3_7,Chapter
Industry 5.0 or industry 4.0S? Introduction to industry 4.0 and a peek into the prospective industry 5.0 technologies,International Journal on Interactive Design and Manufacturing (IJIDeM),,,,10.1007/s12008-023-01217-8,Abirami Raja SanthiPadmakumar Muthuswamy,2023,https://link.springer.com/article/10.1007/s12008-023-01217-8,Article
Theoretical Model to Gauge the Organization’s Readiness of Flexible Work Arrangements (Work-From-Home),Managing Disruptions in Business,,,,10.1007/978-3-030-79709-6_15,Munmun Goswami,2022,https://link.springer.com/chapter/10.1007/978-3-030-79709-6_15,Chapter
Enhanced Lightweight Model for Detection of Phishing URL Using Machine Learning,ICT Analysis and Applications,,,,10.1007/978-981-15-8354-4_6,Siddhesh MasurkarVipul Dalal,2021,https://link.springer.com/chapter/10.1007/978-981-15-8354-4_6,Conference paper
Enhanced Lightweight Model for Detection of Phishing URL Using Machine Learning,Machine Intelligence and Smart Systems,,,,10.1007/978-981-33-4893-6_24,Siddhesh MasurkarVipul Dalal,2021,https://link.springer.com/chapter/10.1007/978-981-33-4893-6_24,Conference paper
A Review on Cyber Crimes on the Internet of Things,Deep Learning for Security and Privacy Preservation in IoT,,,,10.1007/978-981-16-6186-0_4,Mohan Krishna KagitaNavod ThilakarathneThippa Reddy GadekalluPraveen Kumar Reddy MaddikuntaSaurabh Singh,2021,https://link.springer.com/chapter/10.1007/978-981-16-6186-0_4,Chapter
A Descriptive Analytics of the Occurrence and Predictive Analytics of Cyber Attacks During the Pandemic,Challenges in the IoT and Smart Environments,,,,10.1007/978-3-030-87166-6_6,Emmanuel Folusho AdeniranHamid Jahankhani,2021,https://link.springer.com/chapter/10.1007/978-3-030-87166-6_6,Chapter
Interdisciplinary Cybersecurity: Rethinking the Approach and the Process,National Cyber Summit (NCS) Research Track,,,,10.1007/978-3-030-31239-8_6,Johanna JacobMichelle PetersT. Andrew Yang,2020,https://link.springer.com/chapter/10.1007/978-3-030-31239-8_6,Conference paper
