title,publication,Book Series Title,Journal Volume,Journal Issue,doi,author,Publication Year,url,Content Type
Cacography based Ransomware Email Phishing Attack Prevention using Language Pack Tuned Transformer Language Model,Scientific Reports,,,,10.1038/s41598-025-06530-8,S. AbiramasundariV. Ramaswamy,2025,https://link.springer.com/article/10.1038/s41598-025-06530-8,Article
Enhanced Lightweight Model for Detection of Phishing URL Using Machine Learning,ICT Analysis and Applications,,,,10.1007/978-981-15-8354-4_6,Siddhesh MasurkarVipul Dalal,2021,https://link.springer.com/chapter/10.1007/978-981-15-8354-4_6,Conference paper
Estimating vulnerability metrics with word embedding and multiclass classification methods,International Journal of Information Security,,,,10.1007/s10207-023-00734-7,Hakan KekülBurhan ErgenHalil Arslan,2023,https://link.springer.com/article/10.1007/s10207-023-00734-7,Article
Robust Keystroke Behavior Features for Continuous User Authentication for Online Fraud Detection,Proceedings of Eighth International Congress on Information and Communication Technology,,,,10.1007/978-981-99-3243-6_71,Aditya SubashInsu SongKexin Tao,2023,https://link.springer.com/chapter/10.1007/978-981-99-3243-6_71,Conference paper
The Effect of Internet Threat on Small Businesses in South Africa,Networks and Systems in Cybernetics,,,,10.1007/978-3-031-35317-8_14,Awosejo Oluwaseun JohnsonAgnieta PretoriusTendani Lavhengwa,2023,https://link.springer.com/chapter/10.1007/978-3-031-35317-8_14,Conference paper
Early Detection of&#xa0;Spam Domains with&#xa0;Passive DNS and&#xa0;SPF,Passive and Active Measurement,,,,10.1007/978-3-030-98785-5_2,Simon FernandezMaciej KorczyńskiAndrzej Duda,2022,https://link.springer.com/chapter/10.1007/978-3-030-98785-5_2,Conference paper
"Federated Learning Enabled Edge Computing Security for Internet of Medical Things: Concepts, Challenges and Open Issues",Security and Risk Analysis for Intelligent Edge Computing,,,,10.1007/978-3-031-28150-1_3,Gautam SrivastavaDasaradharami Reddy K.Supriya Y.Gokul YenduriPawan HegdeThippa Reddy GadekalluPraveen Kumar Reddy MaddikuntaSweta Bhattacharya,2023,https://link.springer.com/chapter/10.1007/978-3-031-28150-1_3,Chapter
Characterizing the&#xa0;Networks Sending Enterprise Phishing Emails,Passive and Active Measurement,,,,10.1007/978-3-031-85960-1_18,Elisa LuoLiane YoungGrant HoM. H. AfifiMarco SchweighauserEthan Katz-BassettAsaf Cidon,2025,https://link.springer.com/chapter/10.1007/978-3-031-85960-1_18,Conference paper
Multi-labeling with topic models for searching security information,Annals of Telecommunications,,,,10.1007/s12243-022-00928-5,Yuki OsadaRyusei NagasawaYoshiaki ShiraishiMakoto TakitaKeisuke FurumotoTakeshi TakahashiMasami MohriMasakatu Morii,2022,https://link.springer.com/article/10.1007/s12243-022-00928-5,Article
Comprehensive analytical review of cybercrime and cyber policy in West Africa,Journal of Electrical Systems and Information Technology,,,,10.1186/s43067-025-00216-x,Victor A. AdewopoSylvia Worlali AzumahMustapha Awinsongya YakubuEmmanuel Kojo GyamfiMurat OzerNelly Elsayed,2025,https://link.springer.com/article/10.1186/s43067-025-00216-x,Article
Cyber threat assessment and management for securing healthcare ecosystems using natural language processing,International Journal of Information Security,,,,10.1007/s10207-023-00769-w,Stefano SilvestriShareful IslamDmitry AmelinGabriele WeilerSpyridon PapastergiouMario Ciampi,2023,https://link.springer.com/article/10.1007/s10207-023-00769-w,Article
A lightweight and proactive rule-based incremental construction approach to detect phishing scam,Information Technology and Management,,,,10.1007/s10799-021-00351-7,M. SatheeshKumarK. G. SrinivasaganG. UnniKrishnan,2022,https://link.springer.com/article/10.1007/s10799-021-00351-7,Article
Design tactics for tailoring transformer architectures to cybersecurity challenges,Cluster Computing,,,,10.1007/s10586-024-04355-0,Cigdem AvciBedir TekinerdoganCagatay Catal,2024,https://link.springer.com/article/10.1007/s10586-024-04355-0,Article
Fraud Risk Management: Using Fraud Analytics to Combat External and Insider Threats,Encyclopedia of Security and Emergency Management,,,,10.1007/978-3-319-70488-3_296,Pierre-Luc PomerleauMathieu Auger-Perreault,2021,https://link.springer.com/rwe/10.1007/978-3-319-70488-3_296,Reference work entry
Applicability of machine learning in spam and phishing email filtering: review and approaches,Artificial Intelligence Review,,,,10.1007/s10462-020-09814-9,Tushaar GangavarapuC. D. JaidharBhabesh Chanduka,2020,https://link.springer.com/article/10.1007/s10462-020-09814-9,Article
Towards the Creation of a Threat Intelligence Framework for Maritime Infrastructures,Computer Security,,,,10.1007/978-3-030-42048-2_4,Nikolaos PitropakisMarios LogothetisGennady AndrienkoJason StefanatosEirini KarapistoliCostas Lambrinoudakis,2020,https://link.springer.com/chapter/10.1007/978-3-030-42048-2_4,Conference paper
Fraud Risk Management: Using Fraud Analytics to Combat External and Insider Threats,Encyclopedia of Security and Emergency Management,,,,10.1007/978-3-319-69891-5_296-1,Pierre-Luc PomerleauMathieu Auger-Perreault,2020,https://link.springer.com/rwe/10.1007/978-3-319-69891-5_296-1,Living reference work entry
Identifying Scams and Trends,Understanding Social Engineering Based Scams,,,,10.1007/978-1-4939-6457-4_2,Damon McCoyYoungsam ParkElaine ShiMarkus Jakobsson,2016,https://link.springer.com/chapter/10.1007/978-1-4939-6457-4_2,Chapter
Fighting against phishing attacks: state of the art and future challenges,Neural Computing and Applications,,,,10.1007/s00521-016-2275-y,B. B. GuptaAakanksha TewariAnkit Kumar JainDharma P. Agrawal,2016,https://link.springer.com/article/10.1007/s00521-016-2275-y,Article
