title,publication,Book Series Title,Journal Volume,Journal Issue, doi,author,Publication Year,url,Content Type
Phishing Faster: Implementing ChatGPT into Phishing Campaigns,"Proceedings of the Future Technologies Conference (FTC) 2023, Volume 1",,,,10.1007/978-3-031-47454-5_13,Tyson LangfordBryson Payne,2023,https://link.springer.com/chapter/10.1007/978-3-031-47454-5_13,Conference paper
Eyes on phishing emails: an eye-tracking study,Journal of Experimental Criminology,,,,10.1007/s11292-024-09648-3,Liliana RibeiroInês Sousa GuedesCarla Sofia Cardoso,2024,https://link.springer.com/article/10.1007/s11292-024-09648-3,Article
Developing and implementing social engineering-prevention policies: a qualitative study,Security Journal,,,,10.1057/s41284-023-00385-2,Kevin F. SteinmetzThomas J. HoltChristopher G. Brewer,2023,https://link.springer.com/article/10.1057/s41284-023-00385-2,Article
Email and Browser Protections,Critical Security Controls for Effective Cyber Defense,,,,10.1007/979-8-8688-0506-6_9,Dr. Jason Edwards,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0506-6_9,Chapter
A Contemporary Framework for Detection of Phishing Website for Cyber Societal Safety,SN Computer Science,,,,10.1007/s42979-025-03942-1,B. N. LakshmiB. K. DhanalakshmiK. Tharun Reddy,2025,https://link.springer.com/article/10.1007/s42979-025-03942-1,Article
Cacography based Ransomware Email Phishing Attack Prevention using Language Pack Tuned Transformer Language Model,Scientific Reports,,,,10.1038/s41598-025-06530-8,S. AbiramasundariV. Ramaswamy,2025,https://link.springer.com/article/10.1038/s41598-025-06530-8,Article
Social Engineering Attacks in Healthcare Systems: A Survey,National Cyber Summit (NCS) Research Track 2021,,,,10.1007/978-3-030-84614-5_11,Christopher NguyenWalt WilliamsBrandon DidlakeDonte MitchellJames McGinnisDipankar Dasgupta,2022,https://link.springer.com/chapter/10.1007/978-3-030-84614-5_11,Conference paper
Impact of AI-Generated Phishing Attacks: A New Cybersecurity Threat,Intelligent Computing,,,,10.1007/978-3-031-92605-1_19,Taiwo Oladipupo Ayodele,2025,https://link.springer.com/chapter/10.1007/978-3-031-92605-1_19,Conference paper
Emerging Phishing Attack Trends: A South African Case Study,Towards new e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-031-81570-6_24,Jabu MtsweniPrecious MadumaVhuthu NefaleAlex RamantswanaMfundo MasangoMuyowa Mutemwa,2025,https://link.springer.com/chapter/10.1007/978-3-031-81570-6_24,Conference paper
Development of Proposed Model Using Random Forest with Optimization Technique for Classification of Phishing Website,SN Computer Science,,,,10.1007/s42979-024-03388-x,Prakash PathakAkhilesh Kumar Shrivas,2024,https://link.springer.com/article/10.1007/s42979-024-03388-x,Article
Detection of Business Email Compromise Attacks with Writing Style Analysis,Mobile Internet Security,,,,10.1007/978-981-16-9576-6_18,Alisa VorobevaGuldar KhisaevaDanil ZakoldaevIgor Kotenko,2022,https://link.springer.com/chapter/10.1007/978-981-16-9576-6_18,Conference paper
A systematic review and research challenges on phishing cyberattacks from an electroencephalography and gaze-based perspective,Personal and Ubiquitous Computing,,,,10.1007/s00779-024-01794-9,George A. ThomopoulosDimitrios P. LyrasChristos A. Fidas,2024,https://link.springer.com/article/10.1007/s00779-024-01794-9,Article
Phishing URL detection with neural networks: an empirical study,Scientific Reports,,,,10.1038/s41598-024-74725-6,Hayk GhalechyanElina IsrayelyanAvag ArakelyanGerasim HovhannisyanArman Davtyan,2024,https://link.springer.com/article/10.1038/s41598-024-74725-6,Article
The Hidden Dangers of Publicly Accessible LLMs: A Case Study on Gab AI,Digital Forensics and Cyber Crime,,,,10.1007/978-3-031-89363-6_18,Lakshika VaishnavSakshi SinghKimberly A. Cornell,2025,https://link.springer.com/chapter/10.1007/978-3-031-89363-6_18,Conference paper
Characterizing the&#xa0;Networks Sending Enterprise Phishing Emails,Passive and Active Measurement,,,,10.1007/978-3-031-85960-1_18,Elisa LuoLiane YoungGrant HoM. H. AfifiMarco SchweighauserEthan Katz-BassettAsaf Cidon,2025,https://link.springer.com/chapter/10.1007/978-3-031-85960-1_18,Conference paper
A Comparative Analysis of Phishing Tools: Features and Countermeasures,Information Security Practice and Experience,,,,10.1007/978-981-97-9053-1_21,Rishikesh SahayWeizhi MengWenjuan Li,2025,https://link.springer.com/chapter/10.1007/978-981-97-9053-1_21,Conference paper
Phishing Email Detection Using NLP and CNN Model,Advances in Intelligent Systems and Digital Applications,,,,10.1007/978-3-031-95330-9_22,Meryem HilaniBouchra NassihImane LmatiYoussef BaloukiAouatif Amine,2025,https://link.springer.com/chapter/10.1007/978-3-031-95330-9_22,Conference paper
Simulation Tests in Anti-phishing Training,ITNG 2024: 21st International Conference on Information Technology-New Generations,,,,10.1007/978-3-031-56599-1_12,Peyton LutchkusPing WangJim Mahony,2024,https://link.springer.com/chapter/10.1007/978-3-031-56599-1_12,Conference paper
Intelligent phishing website detection using machine learning,Multimedia Tools and Applications,,,,10.1007/s11042-023-14731-4,Ashish Kumar JhaRaja MuthalaguPranav M. Pawar,2023,https://link.springer.com/article/10.1007/s11042-023-14731-4,Article
The Power of Persuasion: Exploring Social Engineering in the Digital Age,Current and Future Trends on Intelligent Technology Adoption,,,,10.1007/978-3-031-61463-7_16,Rand K. AbdelhamidMahmoud Maqableh,2024,https://link.springer.com/chapter/10.1007/978-3-031-61463-7_16,Chapter
Cyberattacks on the Maritime Sector: A Literature Review,Journal of Marine Science and Application,,,,10.1007/s11804-024-00443-0,Steve SymesEddie Blanco-DavisTony GrahamJin WangEdward Shaw,2024,https://link.springer.com/article/10.1007/s11804-024-00443-0,Article
Cybersecurity in the Digital Age,Technology for Societal Transformation,,,,10.1007/978-981-96-1721-0_8,Ileyas RizviShiv RajVikram Singh,2025,https://link.springer.com/chapter/10.1007/978-981-96-1721-0_8,Chapter
Phishing and Human Error. Beyond Training and Simulations,Information Systems and Technologies,,,,10.1007/978-3-031-45642-8_12,Jeimy J. Cano M.,2024,https://link.springer.com/chapter/10.1007/978-3-031-45642-8_12,Conference paper
Securing the remote office: reducing cyber risks to remote working through regular security awareness education campaigns,International Journal of Information Security,,,,10.1007/s10207-023-00809-5,Giddeon Njamngang AngaforIryna YevseyevaLeandros Maglaras,2024,https://link.springer.com/article/10.1007/s10207-023-00809-5,Article
ZeSAI: AI vigilant malware detection in email security with zero shot-based hybrid network and threat intelligence integration,Journal of Combinatorial Optimization,,,,10.1007/s10878-025-01306-2,Venkadeshan RamalingamR. GopalSyed Ziaur RahmanR. Senthil,2025,https://link.springer.com/article/10.1007/s10878-025-01306-2,Article
"Revolutionizing Social Engineering Awareness Raising, Education and Training: Generative AI-Powered Investigations in the Maritime Domain","HCI for Cybersecurity, Privacy and Trust",,,,10.1007/978-3-031-61382-1_5,Michail LoupasakisGeorgios PotamosEliana Stavrou,2024,https://link.springer.com/chapter/10.1007/978-3-031-61382-1_5,Conference paper
A case study on phishing detection with a machine learning net,International Journal of Data Science and Analytics,,,,10.1007/s41060-024-00579-w,Ana BezerraIvo PereiraMiguel Ângelo RebeloDuarte CoelhoDaniel Alves de OliveiraJoaquim F. Pinto CostaRicardo P. M. Cruz,2024,https://link.springer.com/article/10.1007/s41060-024-00579-w,Article
Artificial Intelligence – Opportunity and Risk for Corporate Cyber Security,Datenschutz und Datensicherheit - DuD,,,,10.1007/s11623-024-2034-7,Luis MolinaMartin Arno Schöpper,2025,https://link.springer.com/article/10.1007/s11623-024-2034-7,Article
Guarding the Digital Gateway: An In-Depth Analysis of Cybersecurity Challenges in India,Emerging Trends in Information System Security Using AI & Data Science for Next-Generation Cyber Analytics,,,,10.1007/978-3-031-81481-5_6,Snehal A. Bagul,2025,https://link.springer.com/chapter/10.1007/978-3-031-81481-5_6,Chapter
All Your LLMs Belong to&#xa0;Us: Experiments with&#xa0;a&#xa0;New Extortion Phishing Dataset,Data and Applications Security and Privacy XXXVIII,,,,10.1007/978-3-031-65172-4_15,Fatima Zahra QachfarRakesh M. Verma,2024,https://link.springer.com/chapter/10.1007/978-3-031-65172-4_15,Conference paper
How Good Are We at Detecting a Phishing Attack? Investigating the Evolving Phishing Attack Email and Why It Continues to Successfully Deceive Society,SN Computer Science,,,,10.1007/s42979-022-01069-1,Fiona CarrollJohn Ayooluwa AdejobiReza Montasari,2022,https://link.springer.com/article/10.1007/s42979-022-01069-1,Article
Phishing Website Detection Through Multi-model Analysis of&#xa0;HTML Content,Proceedings of International Conference on Theoretical and Applied Computing,,,,10.1007/978-981-97-6957-5_15,Furkan ÇolhakMert İlhan EcevitBilal Emir UçarReiner CreutzburgHasan Dağ,2025,https://link.springer.com/chapter/10.1007/978-981-97-6957-5_15,Conference paper
Cybersecurity Readiness Model Based on Human Factors,Arabian Journal for Science and Engineering,,,,10.1007/s13369-025-10349-w,Yusuf Taoheed AbiodunSajjad MahmoodMahmood NiaziMohammad AlshayebAzzah A. AlGhamdi,2025,https://link.springer.com/article/10.1007/s13369-025-10349-w,Article
Social Engineering Attacks During the COVID-19 Pandemic,SN Computer Science,,,,10.1007/s42979-020-00443-1,Venkatesha SushruthK. Rahul ReddyB. R. Chandavarkar,2021,https://link.springer.com/article/10.1007/s42979-020-00443-1,Article
Phisherman: Phishing Link Scanner,Machine Learning for Networking,,,,10.1007/978-3-031-36183-8_11,Christian Angelo A. EscosesMark Renzo R. MagnoHannah Mae P. BalbaNeil C. EnriquezMarlon A. Diloy,2023,https://link.springer.com/chapter/10.1007/978-3-031-36183-8_11,Conference paper
Large Language Models in Cyberattacks,Doklady Mathematics,,,,10.1134/S1064562425700012,S. V. LebedD. E. NamiotE. V. ZubarevaP. V. KhenkinA. A. VorobevaD. A. Svichkar,2024,https://link.springer.com/article/10.1134/S1064562425700012,Article
The Effectiveness of&#xa0;Transformer-Based Models for&#xa0;BEC Attack Detection,Network and System Security,,,,10.1007/978-3-031-39828-5_5,Amirah AlmutairiBooJoong KangNawfal Fadhel,2023,https://link.springer.com/chapter/10.1007/978-3-031-39828-5_5,Conference paper
Analysis of Cybercrimes with Machine Learning Techniques,Proceedings of International Conference on Artificial Intelligence and Networks,,,,10.1007/978-981-96-2015-9_32,Anil V. TurukmaneD. Ramkumar,2025,https://link.springer.com/chapter/10.1007/978-981-96-2015-9_32,Conference paper
Computational Approaches to Persuasion Detection and Potential of Use in Social Engineering,"Proceedings of the Future Technologies Conference (FTC) 2023, Volume 4",,,,10.1007/978-3-031-47448-4_30,Subia AnsariMohammad Zaiyan Alam,2023,https://link.springer.com/chapter/10.1007/978-3-031-47448-4_30,Conference paper
A deep learning mechanism to detect phishing URLs using the permutation importance method and SMOTE-Tomek link,The Journal of Supercomputing,,,,10.1007/s11227-024-06124-7,Rania ZaimiMohamed HafidiMahnane Lamia,2024,https://link.springer.com/article/10.1007/s11227-024-06124-7,Article
Combatting Fraud,Information Security Planning,,,,10.1007/978-3-031-43118-0_2,Susan Lincke,2024,https://link.springer.com/chapter/10.1007/978-3-031-43118-0_2,Chapter
Fortifying Economic Foundations: Cybersecurity Imperatives for a Resilient Financial System,The Role of the Public Sector in Building Social and Economic Resilience,,,,10.1007/978-3-031-67702-1_12,Alina HyzGrigorios Gikas,2024,https://link.springer.com/chapter/10.1007/978-3-031-67702-1_12,Chapter
Introduction to Phishing,Phishing and Communication Channels,,,,10.1007/978-1-4842-7744-7_1,Gunikhan Sonowal,2022,https://link.springer.com/chapter/10.1007/978-1-4842-7744-7_1,Chapter
The Dual-Edged Sword of&#xa0;Large Language Models in&#xa0;Phishing,Secure IT Systems,,,,10.1007/978-3-031-79007-2_14,Alec SiemerinkSlinger JansenKatsiaryna Labunets,2025,https://link.springer.com/chapter/10.1007/978-3-031-79007-2_14,Conference paper
"AI-Powered Tools: Threat, Defense, and Cyber-Resilience for Individuals",Digital Technology Platforms and Deployment,,,,10.1007/978-3-031-86547-3_14,Tatiana AntipovaSimona RiureanPatricia RiureanGeorge Bolog,2025,https://link.springer.com/chapter/10.1007/978-3-031-86547-3_14,Chapter
Using Website Content for&#xa0;Detecting Phishing URLs: A Novel Approach,Advances in Data-Driven Computing and Intelligent Systems,,,,10.1007/978-981-99-9518-9_7,Vaishali GanganwarSyed Iarshed HussainAnkur PowarShushant GaurAmit Kumar,2024,https://link.springer.com/chapter/10.1007/978-981-99-9518-9_7,Conference paper
Bytes and Battles in AI Era. Safeguarding Consumers’ Digital World,Digital Technology Platforms and Deployment,,,,10.1007/978-3-031-86547-3_16,Tatiana AntipovaSimona Riurean,2025,https://link.springer.com/chapter/10.1007/978-3-031-86547-3_16,Chapter
"Research Findings—Cybercrime Composition, Frequency, and Complexity in Nigeria (From a Law Enforcement Perspective)","Cybercrime, Digital Forensic Readiness, and Financial Crime Investigation in Nigeria",,,,10.1007/978-3-031-54089-9_6,Robinson Tombari SibeChristian Kaunert,2024,https://link.springer.com/chapter/10.1007/978-3-031-54089-9_6,Chapter
The State of Data Breaches in the African Cyberspace: A Trend Analysis Using Social Media and Research Literature,Towards new e-Infrastructure and e-Services for Developing Countries,,,,10.1007/978-3-031-81570-6_17,Jabu MtsweniMuyowa MutemwaMfundo MasangoSamson ChishiriSiwe Moyakhe,2025,https://link.springer.com/chapter/10.1007/978-3-031-81570-6_17,Conference paper
Cyber Crime in Nigeria—Reviewing the Problems,"Cybercrime, Digital Forensic Readiness, and Financial Crime Investigation in Nigeria",,,,10.1007/978-3-031-54089-9_2,Robinson Tombari SibeChristian Kaunert,2024,https://link.springer.com/chapter/10.1007/978-3-031-54089-9_2,Chapter
Cost-Effective Cybersecurity Framework for Small and Medium-Sized Enterprises,Deep Learning and Visual Artificial Intelligence,,,,10.1007/978-981-97-4533-3_11,Nadia AnsarSuraiya ParveenBhavya AlankarIhtiram Raza Khan,2024,https://link.springer.com/chapter/10.1007/978-981-97-4533-3_11,Conference paper
Security Awareness and Skills Training,Critical Security Controls for Effective Cyber Defense,,,,10.1007/979-8-8688-0506-6_14,Dr. Jason Edwards,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0506-6_14,Chapter
Review of&#xa0;Phishing Attacks’ Effects on&#xa0;AI-Powered IoT Systems,Innovations in Electrical and Electronic Engineering,,,,10.1007/978-981-99-8661-3_24,S. D. MohanaD. Rafiya NusrathS. P. Shiva PrakashKirill Krinkin,2024,https://link.springer.com/chapter/10.1007/978-981-99-8661-3_24,Conference paper
The Evolving Threat Landscape: Understanding Cyber Threats in the Digital Age,Boardroom Cybersecurity,,,,10.1007/979-8-8688-0785-5_1,Dan Weis,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0785-5_1,Chapter
Correction to: Social Engineering Attacks During the COVID-19 Pandemic,SN Computer Science,,,,10.1007/s42979-021-00550-7,Venkatesha SushruthK. Rahul ReddyB. R. Chandavarkar,2021,https://link.springer.com/article/10.1007/s42979-021-00550-7,Article
DuD Report,Datenschutz und Datensicherheit - DuD,,,,10.1007/s11623-025-2098-z,,2025,https://link.springer.com/article/10.1007/s11623-025-2098-z,Article
How to Keep You and Your Family Safe,Cybersecurity for Everyone,,,,10.1007/979-8-8688-1408-2_6,Cathy Olieslaeger,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1408-2_6,Chapter
"Cybercrime During COVID-19 Pandemic in Urban Kano, Nigeria",Cybercrime Unveiled: Technologies for Analysing Legal Complexity,,,,10.1007/978-3-031-80557-8_14,Ahmad Salisu AbdullahiUkasha Ismail,2025,https://link.springer.com/chapter/10.1007/978-3-031-80557-8_14,Chapter
Design and&#xa0;Evaluation of&#xa0;an&#xa0;Anti-phishing Artifact Based on&#xa0;Useful Transparency,Socio-Technical Aspects in Security,,,,10.1007/978-3-031-83072-3_7,Christopher BeckmannBenjamin BerensNiklas KühlPeter MayerMattia MossanoMelanie Volkamer,2025,https://link.springer.com/chapter/10.1007/978-3-031-83072-3_7,Conference paper
Increasing Security Awareness in the Company,Cybersecurity Awareness,,,,10.1007/978-3-658-46683-1_3,Martin Pils,2025,https://link.springer.com/chapter/10.1007/978-3-658-46683-1_3,Chapter
Effectiveness of HSTS and Alternative Strategies to Enhance Web Applications Security,Innovations in Communication Networks: Sustainability for Societal and Industrial Impact,,,,10.1007/978-981-96-5223-5_5,Han Hui LiewJulia JuremiNipuna Hiranya Weeratunge,2025,https://link.springer.com/chapter/10.1007/978-981-96-5223-5_5,Conference paper
Policing cross-border fraud ‘Above and below the surface’: mapping actions and developing a more effective global response,"Crime, Law and Social Change",,,,10.1007/s10611-024-10186-2,Mark ButtonBranislav HockJoon Bae SuhChol Soo Koh,2025,https://link.springer.com/article/10.1007/s10611-024-10186-2,Article
AI for Defense,The Cybersecurity Trinity,,,,10.1007/979-8-8688-0947-7_3,Donnie W. Wendt,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0947-7_3,Chapter
A lightweight and proactive rule-based incremental construction approach to detect phishing scam,Information Technology and Management,,,,10.1007/s10799-021-00351-7,M. SatheeshKumarK. G. SrinivasaganG. UnniKrishnan,2022,https://link.springer.com/article/10.1007/s10799-021-00351-7,Article
Comprehensive analytical review of cybercrime and cyber policy in West Africa,Journal of Electrical Systems and Information Technology,,,,10.1186/s43067-025-00216-x,Victor A. AdewopoSylvia Worlali AzumahMustapha Awinsongya YakubuEmmanuel Kojo GyamfiMurat OzerNelly Elsayed,2025,https://link.springer.com/article/10.1186/s43067-025-00216-x,Article
The Scourge of Ransomware: The Cybercrime Growth Industry of the Early 2020s,Cybercrime and Challenges in South Africa,,,,10.1007/978-981-99-3057-9_5,Anthony De Villiers Minnaar,2023,https://link.springer.com/chapter/10.1007/978-981-99-3057-9_5,Chapter
"Cybercrime against senior citizens: exploring ageism, ideal victimhood, and the pivotal role of socioeconomics",Security Journal,,,,10.1057/s41284-025-00482-4,Suleman LazarusPeter TicknerMichael R. McGuire,2025,https://link.springer.com/article/10.1057/s41284-025-00482-4,Article
Identifying Key Issues to Enhance the Cybersecurity Awareness Strategy within Organizations,Proceedings of the 20th International Conference on Computing and Information Technology (IC2IT 2024),,,,10.1007/978-3-031-58561-6_1,Anawin Kaewsa-ardNattavee Utakrit,2024,https://link.springer.com/chapter/10.1007/978-3-031-58561-6_1,Conference paper
DuD-Report,Datenschutz und Datensicherheit - DuD,,,,10.1007/s11623-023-1766-0,,2023,https://link.springer.com/article/10.1007/s11623-023-1766-0,Article
The Perfect Victim? Family Offices as&#xa0;Targets for&#xa0;Cybercriminals,Foundations and Practice of Security,,,,10.1007/978-3-031-87499-4_1,Brian H. NussbaumKimberly A. CornellLi Huang,2025,https://link.springer.com/chapter/10.1007/978-3-031-87499-4_1,Conference paper
Design tactics for tailoring transformer architectures to cybersecurity challenges,Cluster Computing,,,,10.1007/s10586-024-04355-0,Cigdem AvciBedir TekinerdoganCagatay Catal,2024,https://link.springer.com/article/10.1007/s10586-024-04355-0,Article
Understanding Cyber Risk and Cyber Resilience,Boardroom Cybersecurity,,,,10.1007/979-8-8688-0785-5_7,Dan Weis,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0785-5_7,Chapter
Report,Datenschutz und Datensicherheit - DuD,,,,10.1007/s11623-023-1840-7,,2023,https://link.springer.com/article/10.1007/s11623-023-1840-7,Article
Sufficient Security,CompTIA A+ Certification Companion,,,,10.1007/979-8-8688-0867-8_11,Kodi A. Cochran,2024,https://link.springer.com/chapter/10.1007/979-8-8688-0867-8_11,Chapter
An enhanced mechanism for malicious URL detection using deep learning and DistilBERT-based feature extraction,The Journal of Supercomputing,,,,10.1007/s11227-024-06908-x,Rania ZaimiKhouloud Safi EljilMohamed HafidiMahnane LamiaFarid Nait-Abdesselam,2025,https://link.springer.com/article/10.1007/s11227-024-06908-x,Article
Pandemics and Illegal Manipulation of Digital Technologies: Examining Cause and Effect in a Time of COVID-19,Cybercrime in the Pandemic Digital Age and Beyond,,,,10.1007/978-3-031-29107-4_2,Jill Slay AM,2023,https://link.springer.com/chapter/10.1007/978-3-031-29107-4_2,Chapter
Overlay Security: Email and Social Media,Discovering Cybersecurity,,,,10.1007/978-1-4842-9560-1_10,Seth James Nielson,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9560-1_10,Chapter
An Analysis of Cyber Threats and the Protective Role of Cyber Insurance in the US Market,Security and Management and Wireless Networks,,,,10.1007/978-3-031-86637-1_19,Zia MuhammadJeremy Straub,2025,https://link.springer.com/chapter/10.1007/978-3-031-86637-1_19,Conference paper
The Impact of Cybercrime on Internet Banking Adoption,Current and Future Trends on Intelligent Technology Adoption,,,,10.1007/978-3-031-61463-7_12,Wafa’a Al-SurkhiMahmoud Maqableh,2024,https://link.springer.com/chapter/10.1007/978-3-031-61463-7_12,Chapter
Digital Technologies and Crime,Encyclopedia of Contemporary Constitutionalism,,,,10.1007/978-3-319-31739-7_230-1,Nicoleta-Elena Hegheș,2025,https://link.springer.com/rwe/10.1007/978-3-319-31739-7_230-1,Living reference work entry
We’re Losing,Cybersecurity for Everyone,,,,10.1007/979-8-8688-1408-2_4,Cathy Olieslaeger,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1408-2_4,Chapter
A Systematic Literature Review on the Impact of Cybersecurity Threats on Corporate Governance During the Covid-19 Era,Towards Digitally Transforming Accounting and Business Processes,,,,10.1007/978-3-031-46177-4_9,Gorejena NyashaLilian Ifunanya NwosuMakuena Clementina BerengCalvin MahlauleTlotlo Segotso,2024,https://link.springer.com/chapter/10.1007/978-3-031-46177-4_9,Conference paper
Emerging Cyber-Attacks,"Emerging Secure Networks, Blockchains and Smart Contract Technologies",,,,10.1007/978-3-031-65866-2_1,Jong-Moon Chung,2024,https://link.springer.com/chapter/10.1007/978-3-031-65866-2_1,Chapter
"Transnational Crimes: The Merging Point of Prayers, Rituals and Cyber-criminality in Africa",The Palgrave Handbook of (In)security and Transnational Crime in Africa,,,,10.1007/978-3-031-74786-1_16,Michael Abiodun Adewole,2025,https://link.springer.com/chapter/10.1007/978-3-031-74786-1_16,Chapter
"Cybercriminal networks in the UK and Beyond: Network structure, criminal cooperation and external interactions",Trends in Organized Crime,,,,10.1007/s12117-022-09476-9,Jonathan LusthausEdward KleemansRutger LeukfeldtMichael LeviThomas Holt,2023,https://link.springer.com/article/10.1007/s12117-022-09476-9,Article
Prevention and mitigation measures against phishing emails: a sequential schema model,Security Journal,,,,10.1057/s41284-021-00318-x,Yumi E. SuzukiSergio A. Salinas Monroy,2021,https://link.springer.com/article/10.1057/s41284-021-00318-x,Article
Organizing Personnel Security,Information Security Planning,,,,10.1007/978-3-031-43118-0_12,Susan Lincke,2024,https://link.springer.com/chapter/10.1007/978-3-031-43118-0_12,Chapter
Background and Introduction,"Cybercrime, Digital Forensic Readiness, and Financial Crime Investigation in Nigeria",,,,10.1007/978-3-031-54089-9_1,Robinson Tombari SibeChristian Kaunert,2024,https://link.springer.com/chapter/10.1007/978-3-031-54089-9_1,Chapter
"Digital Twins in&#xa0;Healthcare: Security, Privacy, Trust and&#xa0;Safety Challenges",Computer Security. ESORICS 2023 International Workshops,,,,10.1007/978-3-031-54129-2_9,Cecilie Solberg JørgensenAnkur ShuklaBasel Katt,2024,https://link.springer.com/chapter/10.1007/978-3-031-54129-2_9,Conference paper
How do cybercriminals launder the proceeds of their crimes?,International Cybersecurity Law Review,,,,10.1365/s43439-023-00104-y,Fabian TeichmannSonia Boticiu,2023,https://link.springer.com/article/10.1365/s43439-023-00104-y,Article
"Cyber insurance: state of the art, trends and future directions",International Journal of Information Security,,,,10.1007/s10207-023-00660-8,Aggeliki TsohouVasiliki DiamantopoulouStefanos GritzalisCostas Lambrinoudakis,2023,https://link.springer.com/article/10.1007/s10207-023-00660-8,Article
Replacing Human Input in&#xa0;Spam Email Detection Using Deep Learning,Artificial Intelligence in HCI,,,,10.1007/978-3-031-05643-7_25,Mathew NichoFarzan MajdaniChristopher D. McDermott,2022,https://link.springer.com/chapter/10.1007/978-3-031-05643-7_25,Conference paper
The Importance of Cybersecurity Awareness Training in the Aviation Industry for Early Detection of Cyberthreats and Vulnerabilities,HCI International 2023 – Late Breaking Papers,,,,10.1007/978-3-031-48057-7_29,Regner SabillonJuan Ramon Bermejo Higuera,2023,https://link.springer.com/chapter/10.1007/978-3-031-48057-7_29,Conference paper
Achieving Sustainable Development Goals in Cyber Security Using AIoT for Healthcare Application,Artificial Intelligence of Things for Achieving Sustainable Development Goals,,,,10.1007/978-3-031-53433-1_11,Meenu VijaraniaSwati GuptaAkshat AgrawalSanjay Misra,2024,https://link.springer.com/chapter/10.1007/978-3-031-53433-1_11,Chapter
Multi-labeling with topic models for searching security information,Annals of Telecommunications,,,,10.1007/s12243-022-00928-5,Yuki OsadaRyusei NagasawaYoshiaki ShiraishiMakoto TakitaKeisuke FurumotoTakeshi TakahashiMasami MohriMasakatu Morii,2022,https://link.springer.com/article/10.1007/s12243-022-00928-5,Article
Securing Healthcare Systems: Modern Threats and Strategic Developments in Cybersecurity,Intelligent Computing and Communication,,,,10.1007/978-981-96-1267-3_27,M. Husain BathushawS. Nagasundaram,2025,https://link.springer.com/chapter/10.1007/978-981-96-1267-3_27,Conference paper
